asi_codigo,asi_nombre,asi_creditos
2017315,Fundamentos en tecnología,3
2017316,Gerencia de proyectos de diseño,3
2016072,Gestión cultural y empresarial en las artes,3
2016073,Herencias - Una mirada a la historia de las artes,3
2017317,Historia y Teoría I,3
2017318,Historia y Teoría II,3
2017319,Historia y Teoría III,3
2017320,Historia y Teoría IV,3
2017321,Industrialización de Producto,3
1000044-B,Inglés I- Semestral,3
1000045-B,Inglés II - Semestral,3
1000049-B,Inglés II - Virtual,3
1000046-B,Inglés III - Semestral,3
1000050-B,Inglés III- Virtual,3
1000052-B,Inglés Intensivo I y II,6
1000053-B,Inglés Intensivo III y IV,6
1000047-B,Inglés IV- Semestral,3
1000051-B,Inglés IV- Virtual,3
2017322,Introducción a la historia y teoría del diseño,3
2017323,Laboratorio de diseño I,4
2017324,Laboratorio de diseño II,4
2017325,Laboratorio de diseño III,4
2024278,Laboratorio de Ergonomía,2
1000002-B,Lecto-Escritura,4
2017326,Macro Ergonomía,2
2017327,Materiales compuestos,2
